,concentration,avg_cell_death,replicates,rep
1,0,8.218574037,rep_1,2.718006795
2,0,8.218574037,rep_2,8.493353028
3,0,8.218574037,rep_3,12.23404255
4,0,8.218574037,rep_4,4.181687094
5,0,8.218574037,rep_5,17.99307958
6,0,8.218574037,rep_6,3.691275168
7,0.001,7.537043531,rep_1,1.457399103
8,0.001,7.537043531,rep_2,9.325044405
9,0.001,7.537043531,rep_3,17.8041543
10,0.001,7.537043531,rep_4,6.385696041
11,0.001,7.537043531,rep_5,2.779456193
12,0.001,7.537043531,rep_6,7.47051114
13,0.01,6.204399973,rep_1,2.73556231
14,0.01,6.204399973,rep_2,4.959196485
15,0.01,6.204399973,rep_3,16.32200886
16,0.01,6.204399973,rep_4,4.340473506
17,0.01,6.204399973,rep_5,6.139852189
18,0.01,6.204399973,rep_6,2.729306488
19,0.05,10.2757066,rep_1,17.08015267
20,0.05,10.2757066,rep_2,9.773462783
21,0.05,10.2757066,rep_3,6.819313091
22,0.05,10.2757066,rep_4,6.932889628
23,0.05,10.2757066,rep_5,10.97647897
24,0.05,10.2757066,rep_6,10.07194245
25,0.1,24.22659491,rep_1,25.34364261
26,0.1,24.22659491,rep_2,31.30051433
27,0.1,24.22659491,rep_3,25.04419564
28,0.1,24.22659491,rep_4,27.80320366
29,0.1,24.22659491,rep_5,21.59450898
30,0.1,24.22659491,rep_6,14.27350427
31,0.25,31.97767249,rep_1,26.56410256
32,0.25,31.97767249,rep_2,32.68219384
33,0.25,31.97767249,rep_3,27.59308511
34,0.25,31.97767249,rep_4,31.44058885
35,0.25,31.97767249,rep_5,32.69689737
36,0.25,31.97767249,rep_6,40.88916719
37,0.5,34.97171899,rep_1,24.16356877
38,0.5,34.97171899,rep_2,39.76555455
39,0.5,34.97171899,rep_3,35.28505393
40,0.5,34.97171899,rep_4,28.59468258
41,0.5,34.97171899,rep_5,38.02145411
42,0.5,34.97171899,rep_6,44
43,1,26.41893282,rep_1,32.95964126
44,1,26.41893282,rep_2,26.27052385
45,1,26.41893282,rep_3,29.87848463
46,1,26.41893282,rep_4,24.22561258
47,1,26.41893282,rep_5,21.19796092
48,1,26.41893282,rep_6,23.98137369
49,2.5,28.88427063,rep_1,23.1511254
50,2.5,28.88427063,rep_2,22.96819788
51,2.5,28.88427063,rep_3,27.68987342
52,2.5,28.88427063,rep_4,40.27576197
53,2.5,28.88427063,rep_5,30.33919598
54,2.5,28.88427063,rep_6,28.88146912
55,5,24.73579618,rep_1,22.32746955
56,5,24.73579618,rep_2,26.20041754
57,5,24.73579618,rep_3,28.2249742
58,5,24.73579618,rep_4,29.34841142
59,5,24.73579618,rep_5,20.98997494
60,5,24.73579618,rep_6,21.32352941